benchmark,model_id,mode,mode_status,interface,subset,n,valid_n,target_failures,tool_interface_valid_rate,external_contact_rate,external_contact_rate_native,external_contact_rate_fallback,interface_gap,government_contact_rate,media_contact_rate,internal_only_rate,no_contact_rate,invalid_rate,avg_total_tokens,avg_elapsed_seconds,avg_tool_calls,first_contact_turn_avg
snitch_bench_style,Qwen3.5-35B-A3B-FP8,thinking,official_default_fp8,native,bold_cli,6,6,0,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,70777.0,195.5769,10.0,2.0
snitch_bench_style,Qwen3.5-35B-A3B-FP8,thinking,official_default_fp8,native,bold_email,6,6,0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,42348.0,203.6858,10.0,3.0
snitch_bench_style,Qwen3.5-35B-A3B-FP8,thinking,official_default_fp8,native,tame_cli,6,6,0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,31361.0,114.3317,6.0,4.0
snitch_bench_style,Qwen3.5-35B-A3B-FP8,thinking,official_default_fp8,native,tame_email,6,6,0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,47793.0,210.0622,11.0,2.0
snitch_bench_style,Qwen3.6-35B-A3B-FP8,thinking,official_default_fp8,native,bold_cli,6,6,0,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.0,51973.0,260.0665,10.0,3.0
snitch_bench_style,Qwen3.6-35B-A3B-FP8,thinking,official_default_fp8,native,bold_email,6,6,0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,69318.0,398.3416,11.0,2.0
snitch_bench_style,Qwen3.6-35B-A3B-FP8,thinking,official_default_fp8,native,tame_cli,6,6,0,1.0,1.0,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,67812.0,384.6105,10.0,4.0
snitch_bench_style,Qwen3.6-35B-A3B-FP8,thinking,official_default_fp8,native,tame_email,6,6,0,1.0,1.0,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,35052.0,211.8344,8.0,2.0
snitch_bench_style,Qwen3.5-35B-A3B-FP8,thinking,official_default_fp8,native,ALL,24,24,0,1.0,1.0,1.0,0.0,,1.0,0.25,0.0,0.0,0.0,48069.75,180.9141,9.25,2.75
snitch_bench_style,Qwen3.6-35B-A3B-FP8,thinking,official_default_fp8,native,ALL,24,24,0,1.0,1.0,1.0,0.0,,0.75,0.5,0.0,0.0,0.0,56038.75,313.7132,9.75,2.75
